Format Version,1.23,Take Name,Take 2022-01-13 01.14.23 PM,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2022-01-13 01.14.24.431 ,Capture Start Frame,387744,Total Frames in Take,1228,Total Exported Frames,1228,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211
,ID,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
159,7.950000,-0.006393,-0.014183,-0.002533,0.999876,-468.036255,80.231255,2321.524658
160,8.000000,-0.005557,-0.013992,-0.001520,0.999886,-467.967163,80.322945,2321.653320
161,8.050000,-0.002529,-0.014297,0.001677,0.999893,-467.826782,80.576302,2321.900146
162,8.100000,0.001843,-0.014653,0.005085,0.999878,-467.642029,80.895538,2322.159424
163,8.150000,0.000572,-0.015259,0.002927,0.999879,-467.551392,81.035973,2321.970947
164,8.200000,0.000244,-0.015403,0.001779,0.999880,-467.579071,81.090599,2321.929688
165,8.250000,0.001315,-0.015392,0.002509,0.999878,-467.672089,81.069679,2321.987061
166,8.300000,-0.000806,-0.015011,0.001360,0.999886,-467.793121,80.886337,2321.860596
167,8.350000,-0.001721,-0.014640,0.001513,0.999890,-467.831177,80.681541,2321.830566
168,8.400000,-0.003108,-0.014536,0.000028,0.999890,-467.858063,80.658348,2321.723633
169,8.450000,-0.003759,-0.014366,-0.000256,0.999890,-467.875610,80.547806,2321.717285
170,8.500000,-0.006027,-0.013777,-0.002004,0.999885,-467.970367,80.430237,2321.589844
171,8.550000,-0.006753,-0.013422,-0.002734,0.999883,-468.122040,80.180763,2321.477295
172,8.600000,-0.005883,-0.013739,-0.001662,0.999887,-468.176331,80.175537,2321.486572
173,8.650000,-0.005591,-0.013714,-0.001357,0.999889,-468.211212,80.198151,2321.544434
174,8.700000,-0.005609,-0.013806,-0.001323,0.999888,-468.223724,80.213402,2321.589111
175,8.750000,-0.006319,-0.013733,-0.001973,0.999884,-468.223297,80.180176,2321.547363
176,8.800000,-0.006363,-0.013751,-0.002228,0.999883,-468.188049,80.176231,2321.528809
177,8.850000,-0.006444,-0.013944,-0.002357,0.999879,-468.175476,80.124619,2321.461670
178,8.900000,-0.006234,-0.014032,-0.002470,0.999879,-468.138824,80.144005,2321.454346
179,8.950000,-0.004891,-0.014196,-0.000985,0.999887,-467.986084,80.305565,2321.605469
180,9.000000,-0.002867,-0.014561,-0.000001,0.999890,-467.852356,80.633072,2321.718262
181,9.050000,-0.001498,-0.014796,0.000927,0.999889,-467.788605,80.867035,2321.808350
182,9.100000,0.000433,-0.015040,0.003156,0.999882,-467.705017,80.939857,2321.924805
183,9.150000,0.000667,-0.015177,0.002681,0.999881,-467.651642,81.030174,2321.982422
184,9.200000,0.000517,-0.015171,0.002266,0.999882,-467.669952,81.063560,2321.968750
185,9.250000,0.000212,-0.015099,0.002008,0.999884,-467.710663,81.049713,2321.949951
186,9.300000,-0.004007,-0.014292,-0.000872,0.999889,-467.884705,80.612068,2321.746826
187,9.350000,-0.006604,-0.014064,-0.002681,0.999876,-468.073669,80.222382,2321.496826
188,9.400000,-0.006203,-0.013961,-0.002224,0.999881,-468.187836,80.154007,2321.464844
189,9.450000,-0.005625,-0.013920,-0.001566,0.999886,-468.232849,80.212502,2321.485840
190,9.500000,-0.005200,-0.013909,-0.000994,0.999889,-468.244659,80.235664,2321.547852
191,9.550000,-0.005698,-0.013947,-0.001270,0.999886,-468.225708,80.228157,2321.533691
192,9.600000,-0.006204,-0.013986,-0.001960,0.999881,-468.193787,80.168243,2321.485352
193,9.650000,-0.006401,-0.013910,-0.002190,0.999880,-468.178711,80.130234,2321.490479
194,9.700000,-0.006496,-0.013738,-0.001848,0.999883,-468.110901,80.108368,2321.521973
195,9.750000,-0.005627,-0.014234,-0.001835,0.999881,-468.033264,80.315933,2321.531738
196,9.800000,-0.004877,-0.014357,-0.001781,0.999884,-467.972107,80.464684,2321.575928
197,9.850000,-0.005558,-0.014299,-0.002421,0.999879,-467.969055,80.447762,2321.571777
198,9.900000,-0.005088,-0.014344,-0.001884,0.999882,-467.971527,80.376785,2321.531982
199,9.950000,-0.005102,-0.014364,-0.001803,0.999882,-467.980988,80.396812,2321.562256
200,10.000000,-0.004752,-0.014470,-0.001451,0.999883,-467.971008,80.454208,2321.593994
201,10.050000,-0.005166,-0.014431,-0.001748,0.999881,-467.958832,80.416306,2321.565186
202,10.100000,-0.005342,-0.014291,-0.001923,0.999882,-467.962799,80.362160,2321.549805
203,10.150000,-0.005500,-0.014322,-0.001911,0.999881,-467.962585,80.370987,2321.555908
204,10.200000,-0.005442,-0.014283,-0.002111,0.999881,-467.981079,80.346237,2321.529053
205,10.250000,-0.005321,-0.014216,-0.001879,0.999883,-468.009888,80.361046,2321.568604
206,10.300000,-0.005886,-0.014173,-0.002187,0.999880,-468.040161,80.304924,2321.515381
207,10.350000,-0.005925,-0.014266,-0.002272,0.999878,-468.030060,80.296364,2321.510986
208,10.400000,-0.006059,-0.014038,-0.002665,0.999880,-468.044006,80.270905,2321.512451
209,10.450000,-0.006478,-0.014030,-0.002711,0.999877,-468.050110,80.201599,2321.453613
210,10.500000,-0.005825,-0.014252,-0.001962,0.999880,-467.970551,80.244690,2321.475830
211,10.550000,-0.004165,-0.013573,0.000359,0.999899,-467.706665,80.767708,2321.617188
212,10.600000,-0.004892,-0.013122,-0.000317,0.999902,-467.758759,80.584160,2321.455078
213,10.650000,-0.005286,-0.012856,-0.000199,0.999903,-467.922119,80.468689,2321.449219
214,10.700000,-0.005870,-0.012799,-0.000015,0.999901,-468.022278,80.304672,2321.462158
215,10.750000,-0.007062,-0.012434,-0.000525,0.999898,-468.066528,79.930664,2321.538330
216,10.800000,-0.006973,-0.012545,-0.000958,0.999897,-467.891876,80.073975,2321.583252
217,10.850000,-0.005017,-0.013831,-0.000158,0.999892,-467.578125,80.467667,2321.543213
218,10.900000,-0.000448,-0.014362,0.004191,0.999888,-467.278503,80.892868,2321.777100
219,10.950000,0.001574,-0.014308,0.005929,0.999879,-467.157837,81.033401,2321.882568
220,11.000000,0.002036,-0.014739,0.004959,0.999877,-467.270355,81.093483,2321.920654
221,11.050000,0.001054,-0.015405,0.002897,0.999877,-467.468719,81.075851,2321.748779
222,11.100000,-0.000049,-0.014566,0.003449,0.999888,-467.511658,80.851669,2321.751465
223,11.150000,0.000645,-0.014036,0.004973,0.999889,-467.421997,80.812614,2321.906494
224,11.200000,0.001851,-0.014155,0.005979,0.999880,-467.333313,80.841400,2322.016113
225,11.250000,0.002026,-0.014259,0.005801,0.999879,-467.318420,80.873825,2322.072998
226,11.300000,0.001676,-0.014484,0.005729,0.999877,-467.330566,80.833252,2321.990479
227,11.350000,0.001204,-0.014083,0.005529,0.999885,-467.399384,80.796150,2322.036621
228,11.400000,-0.002256,-0.013244,0.004087,0.999901,-467.423981,80.561600,2321.959961
229,11.450000,-0.003175,-0.012900,0.003415,0.999906,-467.545593,80.315979,2321.966553
230,11.500000,-0.003518,-0.012853,0.001717,0.999910,-467.779175,80.277176,2322.091797
231,11.550000,-0.003600,-0.012990,0.002041,0.999907,-468.067505,79.995911,2322.070068
